#{"t_start": 1761889711.5764668, "env_id": "SafetyPointGoal1-v0"}
r,l,t,cost
564.708895,1000,865.346724,0.0
391.892516,1000,867.898108,0.0
437.638633,1000,871.809953,0.0
369.796976,1000,874.463794,0.0
536.447315,1000,878.308912,1.0
361.993825,1000,881.025792,1.0
422.007084,1000,885.31113,1.0
291.926747,1000,887.987334,0.0
428.010035,1000,891.892467,0.0
348.696522,1000,894.629834,0.0
462.95935,1000,898.56878,0.0
338.394449,1000,901.108146,0.0
390.145223,1000,905.072355,0.0
485.975899,1000,907.839669,0.0
406.066262,1000,912.840884,0.0
448.045871,1000,916.247759,0.0
426.496519,1000,920.938454,1.0
639.560442,1000,924.171038,1.0
487.995965,1000,928.971753,0.0
395.074005,1000,932.40383,0.0
420.298667,1000,937.064916,0.0
449.611396,1000,940.417819,0.0
353.462529,1000,944.902264,0.0
333.232884,1000,948.350624,0.0
535.570752,1000,952.192326,0.0
524.19359,1000,954.79962,0.0
452.460872,1000,958.832352,0.0
498.152368,1000,961.429629,1.0
340.99732,1000,965.324492,1.0
580.808585,1000,967.941767,0.0
291.619786,1000,971.978739,0.0
247.657798,1000,974.599354,0.0
380.546496,1000,978.523226,0.0
459.862532,1000,981.049129,0.0
370.930655,1000,984.913005,0.0
423.401458,1000,987.496454,0.0
332.235966,1000,991.392529,0.0
412.863628,1000,994.055863,0.0
474.59282,1000,996.778354,0.0
385.304604,1000,1000.700982,0.0
420.985231,1000,1003.69206,0.0
355.745382,1000,1007.70719,0.0
523.617745,1000,1010.266075,0.0
496.786856,1000,1013.995254,0.0
376.911639,1000,1016.559844,1.0
361.870973,1000,1020.439852,0.0
390.02149,1000,1023.064315,0.0
279.068065,1000,1026.775541,0.0
363.818839,1000,1029.42781,0.0
518.908607,1000,1033.094062,0.0
447.257614,1000,1035.76284,1.0
308.695794,1000,1039.48397,0.0
285.84039,1000,1042.175646,0.0
545.905367,1000,1045.908076,0.0
497.086705,1000,1048.54008,0.0
356.131077,1000,1052.216895,1.0
472.571814,1000,1054.924242,0.0
447.391949,1000,1058.583516,0.0
444.966334,1000,1061.164045,0.0
307.085423,1000,1064.952604,1.0
421.313525,1000,1067.578363,1.0
506.916416,1000,1071.283477,0.0
355.042124,1000,1074.020853,0.0
466.392499,1000,1077.805607,0.0
324.450056,1000,1080.31962,0.0
470.3491,1000,1084.055694,0.0
337.095742,1000,1086.787587,0.0
461.456377,1000,1090.50756,0.0
616.866858,1000,1093.207075,0.0
266.995641,1000,1096.920247,0.0
587.766907,1000,1099.517657,0.0
319.304601,1000,1103.272649,0.0
326.96589,1000,1105.948602,0.0
535.008395,1000,1109.585175,0.0
476.897278,1000,1112.201991,0.0
546.630245,1000,1115.919919,0.0
255.85963,1000,1118.46567,0.0
427.227468,1000,1122.150612,0.0
333.514222,1000,1124.785244,0.0
407.243162,1000,1128.462901,0.0
438.71738,1000,1130.981112,0.0
584.291548,1000,1133.539005,0.0
455.85966,1000,1137.616394,0.0
382.795982,1000,1140.313759,0.0
473.858589,1000,1144.06296,0.0
449.451743,1000,1146.80715,0.0
479.986829,1000,1150.579677,0.0
429.672479,1000,1153.356226,0.0
481.116446,1000,1157.061918,0.0
614.831396,1000,1159.778165,0.0
615.520047,1000,1163.510987,0.0
279.176619,1000,1166.25452,0.0
403.238773,1000,1170.060562,0.0
593.582857,1000,1172.741939,0.0
543.398813,1000,1176.501549,1.0
533.626819,1000,1179.292674,0.0
503.136631,1000,1182.978676,0.0
429.268706,1000,1185.854752,0.0
520.732907,1000,1189.727504,0.0
413.042843,1000,1192.39386,0.0
445.815945,1000,1196.159067,0.0
390.264264,1000,1198.860524,0.0
349.624187,1000,1202.590061,0.0
314.398575,1000,1205.392859,0.0
326.005222,1000,1209.089689,0.0
418.43076,1000,1211.880741,0.0
488.334745,1000,1215.592747,0.0
379.087595,1000,1218.254982,0.0
433.73851,1000,1221.963526,0.0
555.258762,1000,1224.754771,0.0
309.706684,1000,1228.50872,1.0
551.258521,1000,1231.287323,0.0
421.621086,1000,1235.004955,0.0
467.182883,1000,1237.756138,0.0
283.58607,1000,1241.503181,0.0
